week_date,day,start_time,end_time,subject_code,subject_name,section,room,type
2026-09-07,Monday,08:45,09:45,OCW,Overview of Computer Workshop,4,G08,Lecture
2026-09-07,Monday,08:45,09:45,OCW,Overview of Computer Workshop,1,Lab 103,Lab
2026-09-07,Tuesday,08:45,09:45,CP,Computer Programming,4,Lab 103,Lab
2026-09-07,Tuesday,08:45,09:45,DLD,Digital Logic Design,1,Lab 114/102,Lab
2026-09-07,Wednesday,08:45,09:45,CP,Computer Programming,1,Lab 103,Lab
2026-09-07,Wednesday,08:45,09:45,DLD,Digital Logic Design,4,Lab 114/102,Lab
2026-09-07,Thursday,08:45,09:45,OCW,Overview of Computer Workshop,4,Lab 103,Lab
2026-09-07,Thursday,08:45,09:45,OCW,Overview of Computer Workshop,1,G08,Lecture
2026-09-07,Friday,08:45,09:45,OCW,Overview of Computer Workshop,1,G09,Lecture
2026-09-07,Saturday,08:45,09:45,FHVE,Foundations in Human Values and Ethics,ALL,,Common
2026-09-07,Monday,09:45,10:45,OCW,Overview of Computer Workshop,1,Lab 103,Lab
2026-09-07,Monday,09:45,10:45,DSMA,Discrete Structures and Matrix Algebra,2,G08,Lecture
2026-09-07,Monday,09:45,10:45,DSMA,Discrete Structures and Matrix Algebra,3,G07,Lecture
2026-09-07,Tuesday,09:45,10:45,CP,Computer Programming,4,Lab 103,Lab
2026-09-07,Tuesday,09:45,10:45,DLD,Digital Logic Design,1,Lab 114/102,Lab
2026-09-07,Tuesday,09:45,10:45,DSMA,Discrete Structures and Matrix Algebra,3,G08,Lecture
2026-09-07,Tuesday,09:45,10:45,OCW,Overview of Computer Workshop,2,G09,Lecture
2026-09-07,Wednesday,09:45,10:45,CP,Computer Programming,1,Lab 103,Lab
2026-09-07,Wednesday,09:45,10:45,DLD,Digital Logic Design,4,Lab 114/102,Lab
2026-09-07,Wednesday,09:45,10:45,DLD,Digital Logic Design,3,G07,Lecture
2026-09-07,Thursday,09:45,10:45,OCW,Overview of Computer Workshop,4,Lab 103,Lab
2026-09-07,Thursday,09:45,10:45,CP,Computer Programming,1,G09,Lecture
2026-09-07,Thursday,09:45,10:45,CP,Computer Programming,3,G07,Lecture
2026-09-07,Friday,09:45,10:45,DSMA,Discrete Structures and Matrix Algebra,4,G09,Lecture
2026-09-07,Friday,09:45,10:45,DSMA,Discrete Structures and Matrix Algebra,5,G08,Lecture
2026-09-07,Friday,09:45,10:45,DSMA,Discrete Structures and Matrix Algebra,2,G07,Lecture
2026-09-07,Saturday,09:45,10:45,FHVE,Foundations in Human Values and Ethics,ALL,,Common
2026-09-07,Monday,11:00,12:00,DLD,Digital Logic Design,2,G08,Lecture
2026-09-07,Monday,11:00,12:00,CP,Computer Programming,3,Lab 103,Lab
2026-09-07,Monday,11:00,12:00,DLD,Digital Logic Design,1,G09,Lecture
2026-09-07,Tuesday,11:00,12:00,DLD,Digital Logic Design,3,Lab 114/102,Lab
2026-09-07,Tuesday,11:00,12:00,DLD,Digital Logic Design,2,G08,Lecture
2026-09-07,Tuesday,11:00,12:00,DLD,Digital Logic Design,4,G09,Lecture
2026-09-07,Wednesday,11:00,12:00,OCW,Overview of Computer Workshop,1,G09,Lecture
2026-09-07,Wednesday,11:00,12:00,CP,Computer Programming,2,G08,Lecture
2026-09-07,Wednesday,11:00,12:00,DLD,Digital Logic Design,4,G04,Lecture
2026-09-07,Thursday,11:00,12:00,DLD,Digital Logic Design,1,G09,Lecture
2026-09-07,Thursday,11:00,12:00,CP,Computer Programming,2,Lab 103,Lab
2026-09-07,Thursday,11:00,12:00,DLD,Digital Logic Design,3,G07,Lecture
2026-09-07,Friday,11:00,12:00,DLD,Digital Logic Design,3,G08,Lecture
2026-09-07,Friday,11:00,12:00,OCW,Overview of Computer Workshop,2,G09,Lecture
2026-09-07,Saturday,11:00,12:00,FHVE,Foundations in Human Values and Ethics,ALL,,Common
2026-09-07,Monday,12:00,13:00,DSMA,Discrete Structures and Matrix Algebra,4,G07,Lecture
2026-09-07,Monday,12:00,13:00,CP,Computer Programming,3,Lab 103,Lab
2026-09-07,Tuesday,12:00,13:00,DLD,Digital Logic Design,3,Lab 114/102,Lab
2026-09-07,Tuesday,12:00,13:00,OCW,Overview of Computer Workshop,4,G08,Lecture
2026-09-07,Wednesday,12:00,13:00,DSMA,Discrete Structures and Matrix Algebra,5,G09,Lecture
2026-09-07,Wednesday,12:00,13:00,DSMA,Discrete Structures and Matrix Algebra,3,G07,Lecture
2026-09-07,Thursday,12:00,13:00,CP,Computer Programming,2,Lab 103,Lab
2026-09-07,Thursday,12:00,13:00,OCW,Overview of Computer Workshop,4,G08,Lecture
2026-09-07,Thursday,12:00,13:00,DSMA,Discrete Structures and Matrix Algebra,1,G09,Lecture
2026-09-07,Friday,12:00,13:00,CP,Computer Programming,3,G06,Lecture
2026-09-07,Friday,12:00,13:00,CP,Computer Programming,2,G09,Lecture
2026-09-07,Friday,12:00,13:00,DSMA,Discrete Structures and Matrix Algebra,1,G07,Lecture
2026-09-07,Saturday,12:00,13:00,FHVE,Foundations in Human Values and Ethics,ALL,,Common
